OID_,AC_type,Year,Passage_lift,Service_lift,Operate_start_work,bld_opr_hrs,Operate_start_weekend,Operate_hours_weekend,retail,parking,office,hotel,food,GHI,wind_speed_10m,CDH,landuse,NDVI,NDBI,BH,podium,area_podium,highrise,area_upper,Dist_mtr,bld_eui2,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
1920,Central Air-Conditioning System,2016,2,0,10,13,10,13,923.2142334,0,256.5481873,173.308609,701.6431274,1419.727051,2.6154828,2.757786739,11,0.0463895,0.0970544,53.7851753,1,588,1,443,193.1106606,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1921,Individual Air-Conditioning System,2017,2,,,,,,1302.599365,105.4767761,232.9491882,333.0678711,2050.045166,1421.552979,3.5354245,2.793602151,11,-0.0064025,0.0423896,59.8926811,1,2642,1,492,398.3834487,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1922,Central Air-Conditioning System,2017,9,2,8,11,8,6,87.6736908,8.3299284,0,91.6725235,183.726059,1418.265991,3.5547562,2.721971327,11,0.0094426,-0.0554275,60.8985252,1,21761,1,2914,208.184614,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1923,Individual Air-Conditioning System,2018,,,,,,,543.3025513,0,102.8209152,0,1708.206299,1424.474976,3.5354245,2.793602151,11,0.0287373,0.0875576,60.7410202,1,223,1,154,243.7184806,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1924,Central Air-Conditioning System,2019,8,0,,,,,315.8665161,0,0,0,185.7677307,1415.708984,3.4746475,2.757786739,32,0.4086404,-0.1402449,17.599535,1,4827,0,0,39.13026938,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1925,Individual Air-Conditioning System,2020,3,1,,,,,507.3680115,80.848175,34.1923637,149.7931976,239.4669647,1419.362061,2.4128978,2.793602151,11,0.0348307,0.0379421,32.9005165,1,1369,1,739,466.0073671,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1926,Individual Air-Conditioning System,1972,3,0,,,,,102.7689743,6.4667926,0,0,0,1424.474976,3.3292813,2.793602151,31,0.1927806,0.0204725,50.9596558,1,1090,1,1316,256.843331,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1927,Individual Air-Conditioning System,1978,,,,,,,0.50666,0,0,9.6047106,19.3038998,1426.301025,2.5826595,2.793602151,32,0.5430417,-0.2001005,20.0900002,0,0,0,0,149.0351101,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1928,Individual Air-Conditioning System,1977,,,,,,,870.9006958,0,600.973938,189.5630646,846.4718018,1415.708984,3.0064847,2.757786739,11,0.0063217,0.0431796,68.6519089,1,571,1,142,190.7596492,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1929,Individual Air-Conditioning System,1977,,,,,,,1610.106323,164.4201355,1179.394409,0,1325.439575,1421.552979,2.9570251,2.793602151,41,0.0874243,0.0667565,5.3279285,0,0,0,0,420.0668455,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
