bld_eui2,log10_eui,highrise,area_upper,podium,area_podium,BH,BS,Year,food,retail,parking,office,hotel,CDH,GHI,wind_speed_10m,ndvi,landuse,Dist_mtr,AC_type,Passage_lift,Service_lift,Operate_start_work,Operate_hours_work,Operate_hours,retro
15.88,1.200850498,1,127,1,1398,44.3412971,12,1977,2045.619995,711.5020142,57.035099,0,0,2.6503401,1418.27002,1.54132,0.0529519,41,557.0365103,,,,,,,NONE
15.89,1.201123897,1,181,1,1124,64.2143021,22,1978,499.7709961,972.3629761,0,2019.359985,62.3366013,2.7219701,1428.859985,2.9251499,0.0149064,11,343.7340162,Individual Air-Conditioning System,,,,,,NONE
15.96,1.203032887,1,208,1,3657,125.9432678,30,2013,244.8110046,689.7730103,0,70.6163025,0,2.8294201,1399.640015,2.2560899,0.0301216,1,228.4672246,,,,,,,retro_after
15.97,1.203304916,1,4445,1,4234,36.1531372,3,1989,70.4891968,0,0,0,0,2.6145301,1460.640015,1.64861,0.3787834,32,1475.825167,,,,,,,retro_after
16.07,1.206015877,1,282,1,1974,56.7364883,19,1977,1522.5,2086.120117,49.1567993,268.5880127,0,2.6503401,1413.150024,3.3750501,0.039282,1,156.5761698,Central Air-Conditioning System,,,8.5,10,56,retro_after
16.16,1.208441356,1,122,1,1272,51.0807877,12,1977,245.345993,1367.430054,88.4834976,950.8200073,0,2.6503401,1428.130005,2.4739699,0.0360317,11,442.9476744,,,,,,,NONE
16.28,1.211654401,1,199,1,2442,24.1719246,10,1965,1338.319946,835.526001,71.9998016,2917.810059,0,2.5070801,1410.959961,2.4760599,-0.0075937,11,309.2744759,Individual Air-Conditioning System,,,,,,NONE
16.35,1.213517757,1,280,1,2128,58.8143883,16,1973,915.2139893,1706.98999,172.8670044,792.5280151,162.6869965,2.7936001,1421.189941,3.16328,0.0448887,11,203.3573981,Individual Air-Conditioning System,,,,,,retro_after
16.44,1.215901813,1,674,1,3640,16.689436,23,1980,1484.469971,1056.079956,29.7607002,4429.959961,94.4326019,2.5070801,1425.569946,3.9825599,0.0429758,11,330.1679056,Individual Air-Conditioning System,3,0,,,,retro_before
16.44,1.215901813,1,137,1,434,146.2261047,21,1994,933.2399902,783.0689697,74.3856964,88.9281998,0,2.5787101,1384.300049,1.30064,0.0802852,11,779.080897,,,,,,,NONE
16.47,1.216693599,1,80,1,1940,47.6529846,13,1991,268.4989929,1323.180054,141.9400024,977.2860107,0,2.5428901,1425.569946,2.2985101,0.0467836,11,428.1664706,,,,,,,NONE
